"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod04820779-9447-4d53-a7a3-da3d6244a882/a124adbc6c520567adfe77ba77ca8b846d61e6cd538fb91936378527d072a3cb"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu3-5fd5bb6d57-nn4mk_oai_04820779-9447-4d53-a7a3-da3d6244a882_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu3-5fd5bb6d57-nn4mk"", service=""kubelet""}","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod492d0d60-cbb4-47c8-a354-b180e4a1ebe4/fe6851ac0bd4b4d83447e757e3195802396c7277df682f7e7ff2800dfb3b47a4"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu-5fd5bb6d57-9b8wt_oai_492d0d60-cbb4-47c8-a354-b180e4a1ebe4_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu-5fd5bb6d57-9b8wt"", service=""kubelet""}","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod70cac05e-f479-4d49-808d-f67faed322ce/7dec4a0aade7d7aca5c79940ed7127867f2814cf4a98744b02ff229b7ce46bd6"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu2-5fd5bb6d57-b46rc_oai_70cac05e-f479-4d49-808d-f67faed322ce_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu2-5fd5bb6d57-b46rc"", service=""kubelet""}","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod899c0bfc-7700-4984-9828-5e6162425f97/39dc185b1d2bc07d5816e840cafd56bff2f917945a56fd12901b5e855767e3bd"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu4-5fd5bb6d57-nnmmz_oai_899c0bfc-7700-4984-9828-5e6162425f97_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu4-5fd5bb6d57-nnmmz"", service=""kubelet""}","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pode7454948-7afa-4fbc-b15e-5cf3288f924c/ea7c3dcd55bcaf20fce439a8643fa102203f908d5342572ea748436e2bcd4032"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu5-5fd5bb6d57-b4trx_oai_e7454948-7afa-4fbc-b15e-5cf3288f924c_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu5-5fd5bb6d57-b4trx"", service=""kubelet""}"
2022-07-24 17:47:15,45.6,59.4,45.7,20.1,65.6
2022-07-24 17:47:30,55.2,59.8,60.4,86.9,56.8
2022-07-24 17:47:45,55.2,59.8,60.4,86.9,56.8
2022-07-24 17:48:00,62.7,68.7,42.9,27.5,45.1
2022-07-24 17:48:15,62.7,68.7,42.9,27.5,45.1
2022-07-24 17:48:30,51.2,57.7,55.4,65.2,59.1
2022-07-24 17:48:45,51.2,57.7,55.4,65.2,59.1
2022-07-24 17:49:00,52.7,49.0,55.2,63.5,56.8
2022-07-24 17:49:15,52.7,49.0,55.2,63.5,56.8
2022-07-24 17:49:30,59.4,34.8,59.6,52.6,59.0
2022-07-24 17:49:45,59.4,34.8,59.6,52.6,59
2022-07-24 17:50:00,63.8,57.8,54.2,66.2,31.1
2022-07-24 17:50:15,63.8,57.8,54.2,66.2,31.1
2022-07-24 17:50:30,49.8,67.6,52.3,42.9,82.4
2022-07-24 17:50:45,49.8,67.6,52.3,42.9,82.4
2022-07-24 17:51:00,54.5,55.4,62.6,51.0,37.6
2022-07-24 17:51:15,54.5,55.4,62.6,51.0,37.6
2022-07-24 17:51:30,57.9,50.9,58.8,78.4,56.6
2022-07-24 17:51:45,57.9,50.9,58.8,78.4,56.6
2022-07-24 17:52:00,50.7,67.5,60.2,34.5,55.0
2022-07-24 17:52:15,50.7,67.5,60.2,34.5,55.0
2022-07-24 17:52:30,28.5,34.3,45.1,58.0,47.9
2022-07-24 17:52:45,28.5,34.3,45.1,58,47.9
2022-07-24 17:53:00,55.0,62.1,44.5,40.4,61.8
2022-07-24 17:53:15,55,62.1,44.5,40.4,61.8
2022-07-24 17:53:30,47.9,46.4,36.0,48.6,26.6
2022-07-24 17:53:45,47.9,46.4,36,48.6,26.6
2022-07-24 17:54:00,36.4,32.3,56.0,47.5,56.1
2022-07-24 17:54:15,36.4,32.3,56,47.5,56.1
2022-07-24 17:54:30,49.9,43.4,23.5,28.9,41.5
2022-07-24 17:54:45,49.9,43.4,23.5,28.9,41.5
2022-07-24 17:55:00,39.4,52.7,50.8,48.4,43.1
2022-07-24 17:55:15,39.4,52.7,50.8,48.4,43.1
2022-07-24 17:55:30,56.9,38.2,43.3,47.6,43.1
2022-07-24 17:55:45,56.9,38.2,43.3,47.6,43.1
2022-07-24 17:56:00,33.3,39.6,46.5,37.1,38.6
2022-07-24 17:56:15,33.3,39.6,46.5,37.1,38.6
2022-07-24 17:56:30,26.0,19.2,31.0,34.9,30.1
2022-07-24 17:56:45,26.0,19.2,31.0,34.9,30.1
2022-07-24 17:57:00,30.4,36.1,25.5,31.1,31.6
2022-07-24 17:57:15,30.4,36.1,25.5,31.1,31.6
2022-07-24 17:57:30,27.8,30.0,33.2,23.5,21.7
2022-07-24 17:57:45,27.8,30.0,33.2,23.5,21.7
2022-07-24 17:58:00,26.1,27.0,27.3,31.7,28.6
2022-07-24 17:58:15,26.1,27,27.3,31.7,28.6
2022-07-24 17:58:30,31.5,22.4,24.6,24.5,28.7
2022-07-24 17:58:45,31.5,22.4,24.6,24.5,28.7
2022-07-24 17:59:00,20.9,24.1,19.6,18.7,19.1
2022-07-24 17:59:15,20.9,24.1,19.6,18.7,19.1
2022-07-24 17:59:30,21.9,21.4,18.7,17.1,22.6
2022-07-24 17:59:45,21.9,21.4,18.7,17.1,22.6
2022-07-24 18:00:00,12.9,21.2,20.2,20.1,22.6
2022-07-24 18:00:15,12.9,21.2,20.2,20.1,22.6
2022-07-24 18:00:30,25.4,23.7,20.6,22.1,23.0
2022-07-24 18:00:45,25.4,23.7,20.6,22.1,23
2022-07-24 18:01:00,19.5,21.3,27.9,24.5,12.8
2022-07-24 18:01:15,19.5,21.3,27.9,24.5,12.8
2022-07-24 18:01:30,30.4,22.0,16.8,24.8,24.9
2022-07-24 18:01:45,30.4,22.0,16.8,24.8,24.9
2022-07-24 18:02:00,14.2,20.0,26.1,24.7,28.8
2022-07-24 18:02:15,14.2,20.0,26.1,24.7,28.8
2022-07-24 18:02:30,30.6,27.2,15.5,24.4,22.3
2022-07-24 18:02:45,30.6,27.2,15.5,24.4,22.3
2022-07-24 18:03:00,25.3,30.6,40.9,28.6,25.7
2022-07-24 18:03:15,25.3,30.6,40.9,28.6,25.7
2022-07-24 18:03:30,28.0,33.1,23.0,28.8,31.3
2022-07-24 18:03:45,28.0,33.1,23.0,28.8,31.3
2022-07-24 18:04:00,35.6,35.6,32.1,33.3,41.5
2022-07-24 18:04:15,35.6,35.6,32.1,33.3,41.5
2022-07-24 18:04:30,56.1,45.4,42.5,41.7,52.5
2022-07-24 18:04:45,56.1,45.4,42.5,41.7,52.5
2022-07-24 18:05:00,49.8,49.8,45.9,61.7,28.6
2022-07-24 18:05:15,49.8,49.8,45.9,61.7,28.6
2022-07-24 18:05:30,56.9,38.2,45.1,55.5,61.3
2022-07-24 18:05:45,56.9,38.2,45.1,55.5,61.3
2022-07-24 18:06:00,29.5,75.0,70.4,49.1,56.4
2022-07-24 18:06:15,29.5,75,70.4,49.1,56.4
2022-07-24 18:06:30,70.2,53.0,73.0,59.5,33.3
2022-07-24 18:06:45,70.2,53.0,73.0,59.5,33.3
2022-07-24 18:07:00,62.4,53.7,42.3,35.4,70.1
2022-07-24 18:07:15,62.4,53.7,42.3,35.4,70.1
2022-07-24 18:07:30,26.9,45.1,53.0,47.4,63.2
2022-07-24 18:07:45,26.9,45.1,53,47.4,63.2
2022-07-24 18:08:00,65.5,59.3,43.3,76.8,33.7
2022-07-24 18:08:15,65.5,59.3,43.3,76.8,33.7
2022-07-24 18:08:30,48.9,53.7,64.3,31.9,75.0
2022-07-24 18:08:45,48.9,53.7,64.3,31.9,75.0
2022-07-24 18:09:00,50.5,47.1,47.2,61.2,42.6
2022-07-24 18:09:15,50.5,47.1,47.2,61.2,42.6
2022-07-24 18:09:30,52.5,31.6,56.4,65.4,59.4
2022-07-24 18:09:45,52.5,31.6,56.4,65.4,59.4
2022-07-24 18:10:00,52.0,65.4,55.4,35.9,53.9
2022-07-24 18:10:15,52.0,65.4,55.4,35.9,53.9
2022-07-24 18:10:30,71.8,60.2,49.1,50.6,57.1
2022-07-24 18:10:45,71.8,60.2,49.1,50.6,57.1
2022-07-24 18:11:00,39.0,71.1,51.2,73.0,53.8
2022-07-24 18:11:15,39,71.1,51.2,73.0,53.8
2022-07-24 18:11:30,82.5,50.4,65.1,42.8,55.4
2022-07-24 18:11:45,82.5,50.4,65.1,42.8,55.4
2022-07-24 18:12:00,64.8,44.2,62.0,67.5,59.5
2022-07-24 18:12:15,64.8,44.2,62.0,67.5,59.5
2022-07-24 18:12:30,33.6,75.0,56.8,73.2,67.9
2022-07-24 18:12:45,33.6,75.0,56.8,73.2,67.9
2022-07-24 18:13:00,91.5,76.4,54.0,50.8,36.3
2022-07-24 18:13:15,91.5,76.4,54.0,50.8,36.3
2022-07-24 18:13:30,37.9,46.3,72.5,64.3,69.2
2022-07-24 18:13:45,37.9,46.3,72.5,64.3,69.2
2022-07-24 18:14:00,61.1,51.4,56.3,67.3,65.9
2022-07-24 18:14:15,61.1,51.4,56.3,67.3,65.9
2022-07-24 18:14:30,62.8,61.6,72.4,54.5,55.2
2022-07-24 18:14:45,62.8,61.6,72.4,54.5,55.2
2022-07-24 18:15:00,70.5,65.3,39.1,65.6,64.8
2022-07-24 18:15:15,70.5,65.3,39.1,65.6,64.8
2022-07-24 18:15:30,54.4,61.4,88.9,64.5,79.1
2022-07-24 18:15:45,54.4,61.4,88.9,64.5,79.1
2022-07-24 18:16:00,59.6,54.6,54.3,58.5,35.7
2022-07-24 18:16:15,59.6,54.6,54.3,58.5,35.7
2022-07-24 18:16:30,64.0,58.9,54.9,42.9,58.5
2022-07-24 18:16:45,64.0,58.9,54.9,42.9,58.5
2022-07-24 18:17:00,28.4,68.4,57.4,61.3,71.1
2022-07-24 18:17:15,28.4,68.4,57.4,61.3,71.1
2022-07-24 18:17:30,75.1,26.2,28.2,55.0,49.5
2022-07-24 18:17:45,75.1,26.2,28.2,55,49.5
2022-07-24 18:18:00,53.6,72.1,65.1,53.4,46.7
2022-07-24 18:18:15,53.6,72.1,65.1,53.4,46.7
2022-07-24 18:18:30,57.0,40.9,45.9,34.7,57.9
2022-07-24 18:18:45,57.0,40.9,45.9,34.7,57.9
2022-07-24 18:19:00,36.3,65.5,71.0,74.0,50.7
2022-07-24 18:19:15,36.3,65.5,71.0,74.0,50.7
2022-07-24 18:19:30,61.5,40.1,36.2,45.6,47.0
2022-07-24 18:19:45,61.5,40.1,36.2,45.6,47
2022-07-24 18:20:00,42.5,42.7,40.9,36.7,46.9
2022-07-24 18:20:15,42.5,42.7,40.9,36.7,46.9
2022-07-24 18:20:30,46.4,44.4,46.2,47.7,41.4
2022-07-24 18:20:45,46.4,44.4,46.2,47.7,41.4
2022-07-24 18:21:00,34.2,39.5,40.2,36.3,33.0
2022-07-24 18:21:15,34.2,39.5,40.2,36.3,33
2022-07-24 18:21:30,33.0,33.3,36.7,32.9,34.5
2022-07-24 18:21:45,33.0,33.3,36.7,32.9,34.5
2022-07-24 18:22:00,20.4,32.6,28.8,21.2,31.2
2022-07-24 18:22:15,20.4,32.6,28.8,21.2,31.2
2022-07-24 18:22:30,32.9,30.7,26.7,31.9,35.9
2022-07-24 18:22:45,32.9,30.7,26.7,31.9,35.9
2022-07-24 18:23:00,28.9,36.6,30.7,45.0,27.3
2022-07-24 18:23:15,28.9,36.6,30.7,45.0,27.3
2022-07-24 18:23:30,41.6,24.5,36.5,29.2,27.3
2022-07-24 18:23:45,41.6,24.5,36.5,29.2,27.3
2022-07-24 18:24:00,24.7,31.1,24.0,26.1,27.8
2022-07-24 18:24:15,24.7,31.1,24.0,26.1,27.8
2022-07-24 18:24:30,15.5,16.4,23.4,16.9,33.2
2022-07-24 18:24:45,15.5,16.4,23.4,16.9,33.2
2022-07-24 18:25:00,32.5,34.5,25.0,27.4,28.5
2022-07-24 18:25:15,32.5,34.5,25.0,27.4,28.5
2022-07-24 18:25:30,32.0,24.8,30.6,34.5,15.4
2022-07-24 18:25:45,32.0,24.8,30.6,34.5,15.4
2022-07-24 18:26:00,16.4,25.5,34.3,30.5,31.0
2022-07-24 18:26:15,16.4,25.5,34.3,30.5,31.0
2022-07-24 18:26:30,31.4,29.2,25.4,15.8,26.1
2022-07-24 18:26:45,31.4,29.2,25.4,15.8,26.1
2022-07-24 18:27:00,32.5,28.1,37.4,49.4,40.3
2022-07-24 18:27:15,32.5,28.1,37.4,49.4,40.3
2022-07-24 18:27:30,48.8,35.2,37.4,28.0,34.3
2022-07-24 18:27:45,48.8,35.2,37.4,28,34.3
2022-07-24 18:28:00,35.7,43.3,16.7,40.7,37.9
2022-07-24 18:28:15,35.7,43.3,16.7,40.7,37.9
2022-07-24 18:28:30,27.8,39.2,45.2,22.1,33.5
2022-07-24 18:28:45,27.8,39.2,45.2,22.1,33.5
2022-07-24 18:29:00,46.1,55.3,49.3,58.3,53.4
2022-07-24 18:29:15,46.1,55.3,49.3,58.3,53.4
2022-07-24 18:29:30,49.1,22.0,52.8,49.0,54.1
2022-07-24 18:29:45,49.1,22.0,52.8,49.0,54.1
2022-07-24 18:30:00,62.8,77.5,42.2,48.4,29.9
2022-07-24 18:30:15,62.8,77.5,42.2,48.4,29.9
2022-07-24 18:30:30,47.0,30.3,55.3,50.4,45.3
2022-07-24 18:30:45,47.0,30.3,55.3,50.4,45.3
2022-07-24 18:31:00,45.5,59.5,59.6,59.9,64.0
2022-07-24 18:31:15,45.5,59.5,59.6,59.9,64.0
2022-07-24 18:31:30,49.7,48.2,31.2,33.2,53.9
2022-07-24 18:31:45,49.7,48.2,31.2,33.2,53.9
2022-07-24 18:32:00,62.7,43.2,48.2,56.2,48.2
2022-07-24 18:32:15,62.7,43.2,48.2,56.2,48.2
2022-07-24 18:32:30,32.8,65.0,60.8,54.3,66.4
2022-07-24 18:32:45,32.8,65.0,60.8,54.3,66.4
2022-07-24 18:33:00,61.0,49.4,53.3,55.4,27.7
2022-07-24 18:33:15,61,49.4,53.3,55.4,27.7
2022-07-24 18:33:30,62.7,51.4,62.6,60.6,78.9
2022-07-24 18:33:45,62.7,51.4,62.6,60.6,78.9
2022-07-24 18:34:00,60.4,54.0,68.0,52.4,56.8
2022-07-24 18:34:15,60.4,54.0,68.0,52.4,56.8
2022-07-24 18:34:30,35.2,78.0,48.2,56.0,58.5
2022-07-24 18:34:45,35.2,78.0,48.2,56.0,58.5
2022-07-24 18:35:00,52.6,51.9,59.8,49.7,54.0
2022-07-24 18:35:15,52.6,51.9,59.8,49.7,54.0
2022-07-24 18:35:30,59.6,48.0,46.8,71.1,22.9
2022-07-24 18:35:45,59.6,48.0,46.8,71.1,22.9
2022-07-24 18:36:00,55.5,65.8,68.1,52.3,93.3
2022-07-24 18:36:15,55.5,65.8,68.1,52.3,93.3
2022-07-24 18:36:30,65.4,49.1,62.9,51.3,53.3
2022-07-24 18:36:45,65.4,49.1,62.9,51.3,53.3
2022-07-24 18:37:00,89.2,72.2,70.7,76.4,75.7
2022-07-24 18:37:15,89.2,72.2,70.7,76.4,75.7
2022-07-24 18:37:30,67.7,59.0,55.3,73.0,70.6
2022-07-24 18:37:45,67.7,59.0,55.3,73.0,70.6
2022-07-24 18:38:00,66.1,73.1,62.2,63.6,68.5
2022-07-24 18:38:15,66.1,73.1,62.2,63.6,68.5
2022-07-24 18:38:30,70.9,81.6,58.2,69.2,36.6
2022-07-24 18:38:45,70.9,81.6,58.2,69.2,36.6
2022-07-24 18:39:00,39.9,70.2,88.4,78.4,89.1
2022-07-24 18:39:15,39.9,70.2,88.4,78.4,89.1
2022-07-24 18:39:30,92.7,42.6,43.9,72.4,60.0
2022-07-24 18:39:45,92.7,42.6,43.9,72.4,60.0
2022-07-24 18:40:00,76.0,104,108,45.4,70.1
2022-07-24 18:40:15,76.0,104,108,45.4,70.1
2022-07-24 18:40:30,44.4,39.3,57.3,76.2,70.7
2022-07-24 18:40:45,44.4,39.3,57.3,76.2,70.7
2022-07-24 18:41:00,74.7,60.1,65.5,56.5,83.8
2022-07-24 18:41:15,74.7,60.1,65.5,56.5,83.8
2022-07-24 18:41:30,77.8,65.4,70.2,71.4,43.6
2022-07-24 18:41:45,77.8,65.4,70.2,71.4,43.6
2022-07-24 18:42:00,61.7,74.1,65.8,62.2,58.6
2022-07-24 18:42:15,61.7,74.1,65.8,62.2,58.6
2022-07-24 18:42:30,62.9,51.3,35.8,67.2,80.8
2022-07-24 18:42:45,62.9,51.3,35.8,67.2,80.8
2022-07-24 18:43:00,44.6,74.8,62.5,49.7,39.7
2022-07-24 18:43:15,44.6,74.8,62.5,49.7,39.7
2022-07-24 18:43:30,53.2,53.1,57.4,45.8,55.5
2022-07-24 18:43:45,53.2,53.1,57.4,45.8,55.5
2022-07-24 18:44:00,45.3,24.7,47.0,46.8,36.6
2022-07-24 18:44:15,45.3,24.7,47.0,46.8,36.6
2022-07-24 18:44:30,22.1,45.2,42.6,50.3,43.9
2022-07-24 18:44:45,22.1,45.2,42.6,50.3,43.9
2022-07-24 18:45:00,49.9,37.7,34.8,22.3,47.2
2022-07-24 18:45:15,49.9,37.7,34.8,22.3,47.2
2022-07-24 18:45:30,35.6,53.5,37.9,38.5,37.6
2022-07-24 18:45:45,35.6,53.5,37.9,38.5,37.6
2022-07-24 18:46:00,37.0,27.2,26.9,40.5,19.9
2022-07-24 18:46:15,37.0,27.2,26.9,40.5,19.9
2022-07-24 18:46:30,33.4,33.4,39.6,31.3,34.0
2022-07-24 18:46:45,33.4,33.4,39.6,31.3,34.0
2022-07-24 18:47:00,24.5,34.2,33.3,26.8,34.4
2022-07-24 18:47:15,24.5,34.2,33.3,26.8,34.4
2022-07-24 18:47:30,37.1,31.2,20.4,44.6,27.8
2022-07-24 18:47:45,37.1,31.2,20.4,44.6,27.8
2022-07-24 18:48:00,30.4,28.3,32.5,23.5,37.7
2022-07-24 18:48:15,30.4,28.3,32.5,23.5,37.7
2022-07-24 18:48:30,32.0,26.4,31.2,35.8,30.0
2022-07-24 18:48:45,32.0,26.4,31.2,35.8,30.0
2022-07-24 18:49:00,25.0,28.2,32.9,25.9,35.1
2022-07-24 18:49:15,25.0,28.2,32.9,25.9,35.1
2022-07-24 18:49:30,27.8,26.4,32.9,22.4,21.1
2022-07-24 18:49:45,27.8,26.4,32.9,22.4,21.1
2022-07-24 18:50:00,33.2,41.5,16.9,33.2,23.5
2022-07-24 18:50:15,33.2,41.5,16.9,33.2,23.5
2022-07-24 18:50:30,39.9,35.8,32.6,32.4,48.2
2022-07-24 18:50:45,39.9,35.8,32.6,32.4,48.2
2022-07-24 18:51:00,20.6,30.9,39.7,46.2,22.2
2022-07-24 18:51:15,20.6,30.9,39.7,46.2,22.2
2022-07-24 18:51:30,47.1,42.6,54.8,39.1,48.6
2022-07-24 18:51:45,47.1,42.6,54.8,39.1,48.6
2022-07-24 18:52:00,44.8,52.0,42.8,55.3,49.9
